0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.455131,0.5201878,2.4558744,0.86494416,-0.56376505,-0.19808477,0.30498526,1.5130109,-1.3078316,-0.35938925,0.57219005,2.3205898,-1.1117526,1.5197681,0.83553886,0.37478262,0.69048095
0.45015156,0.47355068,2.4490273,0.6449872,-0.538396,-0.09425986,0.5256882,1.4793942,-1.2549584,-0.3421751,0.50051546,2.4256256,-1.1799538,1.5887104,0.8626052,0.46794188,0.6282936
0.4530813,0.5312948,2.3902304,0.757692,-0.5701215,-0.19577003,0.4126139,1.4124655,-1.1821002,-0.39273992,0.5307199,2.4592216,-1.150267,1.5126486,0.8750397,0.40700018,0.69046164
0.50818866,0.45192188,2.4763243,0.710601,-0.62003255,-0.12201365,0.43782598,1.4304494,-1.3352754,-0.35975474,0.5625812,2.3337662,-1.1560218,1.5277777,0.8005252,0.40710312,0.59342766
0.48716897,0.5728358,2.4548404,0.75024545,-0.6076287,-0.15462273,0.4088053,1.4049511,-1.2763679,-0.29817212,0.47205985,2.3144615,-1.1217611,1.5923424,0.7903853,0.38851058,0.582428
0.51583534,0.31849337,2.6196322,0.62689185,-0.48009133,-0.1264691,0.44882876,1.3815988,-1.2867367,-0.41045475,0.55938303,2.440839,-1.2616335,1.4935124,0.7095214,0.3804133,0.70343006
0.5244889,0.22610512,2.6142256,0.71293133,-0.441655,0.03869883,0.40979403,1.4216218,-1.2882041,-0.46088067,0.50904715,2.3260958,-1.4945585,1.5311098,0.69193435,0.46864617,0.6884962
0.50840586,0.32215345,2.532827,0.66537726,-0.5046024,-0.16052827,0.5056638,1.424742,-1.0795666,-0.37369806,0.5265808,2.4087918,-1.1619538,1.4649647,0.66428155,0.39213008,0.7801392
0.4379812,0.3412934,2.6050932,0.76860905,-0.5445688,-0.13270698,0.41545954,1.5082296,-1.3149879,-0.32594427,0.57818747,2.2908604,-1.2385503,1.5826585,0.6526187,0.34953028,0.7681425
0.51192844,0.46410692,2.453346,0.66560566,-0.5354375,-0.1454574,0.43292505,1.3369484,-1.2804291,-0.34907255,0.5225788,2.4482265,-1.2423415,1.5306926,0.81676626,0.46171987,0.6542945
